City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,petatlan,17.5167,-101.2667,87.6,53,7,"{'speed': 7.2, 'deg': 217, 'gust': 5.66}",MX,200
120,tiznit,29.5833,-9.5,67.73,61,33,"{'speed': 0.36, 'deg': 8, 'gust': 1.5}",MA,200
121,petrozavodsk,61.7849,34.3469,29.66,86,94,"{'speed': 2.24, 'deg': 0}",RU,200
122,kamen-na-obi,53.7884,81.3423,45.63,57,100,"{'speed': 11.81, 'deg': 133, 'gust': 29.91}",RU,200
123,saskylakh,71.9167,114.0833,2.53,100,96,"{'speed': 4.54, 'deg': 151, 'gust': 4.32}",RU,200
124,bilma,18.6853,12.9164,86.43,6,52,"{'speed': 7.56, 'deg': 342, 'gust': 7.67}",NE,200
125,victoria,22.2855,114.1577,75.43,89,66,"{'speed': 10, 'deg': 90}",HK,200
126,parainen,60.3067,22.301,50.45,74,100,"{'speed': 14.54, 'deg': 165, 'gust': 33.15}",FI,200
127,rundu,-17.9333,19.7667,77.22,43,100,"{'speed': 6.13, 'deg': 32, 'gust': 14.03}",,200
128,new norfolk,-42.7826,147.0587,47.91,65,8,"{'speed': 3.22, 'deg': 301, 'gust': 5.84}",AU,200
129,kamenka,51.3223,42.7678,50.14,79,99,"{'speed': 6.35, 'deg': 104, 'gust': 8.93}",RU,200
130,novichikha,52.204,81.3877,38.21,68,97,"{'speed': 13.76, 'deg': 157, 'gust': 38.61}",RU,200
131,abrantes,39.4667,-8.2,60.42,82,36,"{'speed': 6.08, 'deg': 318, 'gust': 18.16}",PT,200
132,derzhavinsk,51.1,66.3167,47.73,78,36,"{'speed': 9.51, 'deg': 305, 'gust': 19.1}",KZ,200
133,cidreira,-30.1811,-50.2056,70.99,80,78,"{'speed': 14.07, 'deg': 68, 'gust': 23.76}",BR,200
134,komsomolskiy,40.4272,71.7189,59.72,41,71,"{'speed': 6.91, 'deg': 150}",UZ,200
135,namibe,-15.1961,12.1522,75.49,67,82,"{'speed': 10, 'deg': 199, 'gust': 12.03}",AO,200
136,hanna,51.6334,-111.9018,51.35,43,100,"{'speed': 19.48, 'deg': 145, 'gust': 23.09}",CA,200
137,taoudenni,22.6783,-3.9836,87.33,9,0,"{'speed': 5.19, 'deg': 330, 'gust': 5.3}",ML,200
138,thompson,55.7435,-97.8558,31.66,89,88,"{'speed': 4.72, 'deg': 28, 'gust': 7.54}",CA,200
139,tasiilaq,65.6145,-37.6368,33.96,91,100,"{'speed': 5.99, 'deg': 67, 'gust': 7.76}",GL,200
140,nikolskoye,59.7035,30.7861,56.8,66,45,"{'speed': 7.27, 'deg': 184, 'gust': 24.54}",RU,200
141,salalah,17.0151,54.0924,82.49,78,0,"{'speed': 2.3, 'deg': 0}",OM,200
142,castro,-24.7911,-50.0119,56.43,79,0,"{'speed': 3.71, 'deg': 94, 'gust': 3.69}",BR,200
143,laguna,38.421,-121.4238,82.38,39,0,"{'speed': 10.36, 'deg': 280}",US,200
144,cabo san lucas,22.8909,-109.9124,93.51,21,20,"{'speed': 16.11, 'deg': 90}",MX,200
145,guerrero negro,27.9769,-114.0611,68.5,59,10,"{'speed': 15.97, 'deg': 313, 'gust': 14.67}",MX,200
146,butaritari,3.0707,172.7902,82.74,79,56,"{'speed': 16.49, 'deg': 88, 'gust': 19.04}",KI,200
147,belyy yar,53.6039,91.3903,24.69,68,0,"{'speed': 2.24, 'deg': 150}",RU,200
148,acari,-15.4311,-74.6158,78.67,61,2,"{'speed': 7.31, 'deg': 186, 'gust': 6.6}",PE,200
149,rio grande,-32.035,-52.0986,69.91,87,100,"{'speed': 10.8, 'deg': 94, 'gust': 20.13}",BR,200
150,moose factory,51.2585,-80.6094,33.78,80,100,"{'speed': 6.91, 'deg': 290}",CA,200
151,lorengau,-2.0226,147.2712,81.09,81,100,"{'speed': 2.89, 'deg': 102, 'gust': 3.31}",PG,200
152,tuatapere,-46.1333,167.6833,47.62,77,96,"{'speed': 13.69, 'deg': 253, 'gust': 24.9}",NZ,200
153,pangnirtung,66.1451,-65.7125,34.52,90,99,"{'speed': 2.13, 'deg': 139, 'gust': 2.13}",CA,200
154,polunochnoye,60.8697,60.4153,27.19,72,7,"{'speed': 6.8, 'deg': 286, 'gust': 17.11}",RU,200
155,oranjestad,12.524,-70.027,79.07,78,77,"{'speed': 7.76, 'deg': 12, 'gust': 7.87}",AW,200
156,fort collins,40.5853,-105.0844,58.17,33,0,"{'speed': 7, 'deg': 193, 'gust': 8.99}",US,200
157,narsaq,60.9167,-46.05,39.42,76,96,"{'speed': 1.88, 'deg': 359, 'gust': 2.44}",GL,200
158,manzhouli,49.6,117.4333,33.62,27,98,"{'speed': 8.3, 'deg': 275, 'gust': 22.32}",CN,200
159,balkhash,46.844,74.9804,50.16,48,70,"{'speed': 7.7, 'deg': 143, 'gust': 7.87}",KZ,200
160,puerto ayora,-0.7393,-90.3518,85.96,87,59,"{'speed': 8.01, 'deg': 162, 'gust': 15.99}",EC,200
161,dikson,73.5069,80.5464,33.67,86,99,"{'speed': 18.81, 'deg': 154, 'gust': 25.84}",RU,200
162,ibra,22.6906,58.5334,76.51,58,85,"{'speed': 4.97, 'deg': 154, 'gust': 6.08}",OM,200
163,kodiak,57.79,-152.4072,38.71,38,0,"{'speed': 17.27, 'deg': 310, 'gust': 26.46}",US,200
164,kahului,20.8947,-156.47,84.22,61,20,"{'speed': 11.01, 'deg': 78, 'gust': 14}",US,200
165,itatskiy,56.07,89.0369,34.79,75,100,"{'speed': 5.82, 'deg': 156, 'gust': 9.04}",RU,200
166,saint george,37.1041,-113.5841,77.95,22,75,"{'speed': 9.22, 'deg': 300}",US,200
167,kavaratti,10.5669,72.642,83.12,72,77,"{'speed': 10.92, 'deg': 336, 'gust': 11.36}",IN,200
168,mende,44.6667,3.5,38.89,95,99,"{'speed': 8.86, 'deg': 267, 'gust': 21.94}",FR,200
169,port hardy,50.6996,-127.4199,45.72,89,100,"{'speed': 6.93, 'deg': 183, 'gust': 10.83}",CA,200
170,naze,28.3667,129.4833,66.58,80,38,"{'speed': 13.6, 'deg': 63, 'gust': 16.64}",JP,200
171,kieta,-6.2167,155.6333,83.17,78,37,"{'speed': 2.46, 'deg': 90, 'gust': 4.21}",PG,200
172,cockburn town,21.4612,-71.1419,73.36,73,40,"{'speed': 0, 'deg': 0}",TC,200
173,horizontina,-27.6258,-54.3078,71.13,48,79,"{'speed': 6.98, 'deg': 84, 'gust': 18.21}",BR,200
174,tocopilla,-22.092,-70.1979,69.1,79,12,"{'speed': 5.86, 'deg': 214, 'gust': 7.54}",CL,200
175,kushalgarh,23.199,74.4507,77.36,12,0,"{'speed': 5.03, 'deg': 351, 'gust': 5.39}",IN,200
176,aden,12.7794,45.0367,81.64,80,40,"{'speed': 15.55, 'deg': 80, 'gust': 19.53}",YE,200
177,constitucion,-35.3333,-72.4167,56.46,82,9,"{'speed': 8.95, 'deg': 221, 'gust': 11.23}",CL,200
178,galle,6.0367,80.217,80.85,83,100,"{'speed': 1.45, 'deg': 268, 'gust': 3.56}",LK,200
179,ostrovnoy,68.0531,39.5131,22.28,77,9,"{'speed': 21.65, 'deg': 261, 'gust': 38.5}",RU,200
180,provideniya,64.3833,-173.3,21.36,68,20,"{'speed': 15.99, 'deg': 350, 'gust': 0}",RU,200
181,gobabis,-22.45,18.9667,77.61,37,100,"{'speed': 4.63, 'deg': 119, 'gust': 5.97}",,200
182,shu,43.5983,73.7614,53.37,51,48,"{'speed': 9.01, 'deg': 160, 'gust': 11.5}",KZ,200
183,havelock,34.8791,-76.9013,73.98,51,0,"{'speed': 10.36, 'deg': 140}",US,200
184,vila franca do campo,37.7167,-25.4333,64.81,95,92,"{'speed': 15.21, 'deg': 185, 'gust': 29.42}",PT,200
